75,tmj_vap_health,2021-10-19T17:57:04Z,51710005100,at fresenius medical care we deliver excellence in patient care as well as business results interested in making a difference you could be our next charge nurse apply today httpstcoes8sawa7wv nursing norfolk va,36.830177,-76.2613,5mi,"care, excellence, care, interested","2, 3, 2, 2",deliver,1,2.25,1
76,sserb,2021-10-19T17:57:01Z,51710005100,this is what we get when the press makes heroes of themselves while making villains of real heroes httpstcooaowixqcgq,36.830177,-76.2613,5mi,"heroes, heroes","2, 2",NA,NA,2,NA
77,Lj_Foster,2021-10-19T17:56:54Z,51710005100,lmfaoooo httpstcoi7muqoquqm,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
78,KingBlandooo,2021-10-19T17:56:53Z,51710005100,zaneprodigy its an obsession,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
79,NeilPlevey9,2021-10-19T17:56:31Z,51710005100,photomikeyhere fresh stuff no problems,36.830177,-76.2613,5mi,"fresh, no, problems","1, -1, -2",NA,NA,-0.67,NA
80,theworstdev,2021-10-19T17:56:29Z,51710005100,this is what twitter safety should look like  httpstcozjrotmd2kj,36.830177,-76.2613,5mi,"safety, like","1, 2",NA,NA,1.5,NA
81,KENNYKENNY757,2021-10-19T17:55:41Z,51710005100,man oh man the gifs that are about to be made from this segment are going to be crazy  but this episode has it all moments barsdont play wit me  nobody undefeated this year  sharkcityave more points for t httpstcowmtz0mbwii via jayblac1615 justanwar,36.830177,-76.2613,5mi,crazy,-2,more,1,-2,1
82,Jules29682910,2021-10-19T17:55:35Z,51710004600,karenlovecheese app anti vaxers head there tonight to,36.84486,-76.25199,5mi,anti,-1,NA,NA,-1,NA
83,rumdrinker71,2021-10-19T17:55:16Z,51710004600,cyclingute22 go to the red iguana and post pics so i can live vicariously through you,36.84486,-76.25199,5mi,NA,NA,NA,NA,NA,NA
84,kenziepocock,2021-10-19T17:55:12Z,51710006901,its days like these i wish i was one of those ppl who had rich parents that could pay for me to not have to work while in college bc im over this shit,36.84885,-76.206215,5mi,"like, wish, rich, pay, shit","2, 1, 2, -1, -4",work,1,0,1
85,ODUAlumni,2021-10-19T17:55:06Z,51710006901,between regular planetarium shows and the popular bad movie nights theres never been a better time to stop by the brand new michael and kimthanh lê planetarium odualumni httpstcoy1yewahb8l,36.84885,-76.206215,5mi,"popular, bad, better, stop","3, -3, 2, -1","bad, better","-1, 1",0.25,0
86,duffmardino,2021-10-19T18:04:06Z,51710002900,lol i need more hobbies in my life after im done trading for the morning new york sesh i just wanna sleep the rest of the day until i can do it again ,36.87213,-76.27473,5mi,lol,3,more,1,3,1
87,Jeff_eJ,2021-10-19T18:02:56Z,51710002900,these days you have to destroy a relationship to be in a relationship,36.87213,-76.27473,5mi,destroy,-3,NA,NA,-3,NA
88,DestinationDre5,2021-10-19T18:01:04Z,51550020100,give destination dream maker a call today and discover the benefits of working with someone who always puts customer satisfaction first travelagent allinclusivetravel domesticandinternationaltravel httpstcoos1jlnpgxg httpstcoir4lllmepj,36.80864,-76.25609,5mi,"dream, benefits","1, 2",NA,NA,1.5,NA
89,ChaunceyBob,2021-10-19T17:54:48Z,51550020100,we recommend this training to our clients for a better safer prepared team to serve guests members amp staff be prepared  its too late when an attack breakin child abuse embezzlement fire medical emergency occurs seconds count amp help minutes away so train now next httpstcojbche6mgzq,36.80864,-76.25609,5mi,"recommend, better, prepared, prepared, attack, abuse, fire, emergency, help","2, 2, 1, 1, -1, -3, -2, -2, 2",better,1,0,1
90,_JuniorIII,2021-10-19T17:54:48Z,51550020100,notchrisdanao yooooo enjoy i know its going to be good,36.80864,-76.25609,5mi,"enjoy, good","2, 3","enjoy, good","1, 1",2.5,1
91,MissyGreyhound,2021-10-19T17:54:29Z,51550020100,greyhoundspz youll be ok rare us risk levels are based on probability of one within 25 miles  warnings one in your county usually no worry unless youre on the projected radar track or it gets loud thunderstorms featuring continuous thunder are unnerving,36.80864,-76.25609,5mi,"risk, warnings, no, worry","-2, -3, -1, -3",risk,-1,-2.25,-1
ID,screen_name,created_at,census_tract,text,lat,lon,radius,all_afinn_lexicon_words,all_afinn_lexicon_values,all_polarity_lexicon_words,all_polarity_lexicon_values,afinn_lexicon_scores,polarity_lexicon_scores
1,takea_dimeee,2021-10-19 18:08:38,51710005100,ready to get off amp get to my bed ,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
2,kerrykelly514,2021-10-19 18:08:38,51710005100,report domestic abuse rampant among afghans living at us bases httpstcoma1p5rbpv7 via breitbartnews,36.830177,-76.2613,5mi,abuse,-3,NA,NA,-3,NA
3,tLindseey_,2021-10-19 18:08:27,51710005100,so remember that test i took last night amp got a 78 on why she email us saying she made some corrections so now i got a 84 she know she was dead wrong for that hard ass exam,36.830177,-76.2613,5mi,dead, wrong, hard, ass,-3, -2, -1, -4,hard,-1,-2.5,-1
4,navywife4u,2021-10-19 18:08:22,51710005100,acphotocorse pfurs i have been wondering that myself,36.830177,-76.2613,5mi,NA,NA,NA,NA,NA,NA
