"","screen_name","ID","all_afinn_words","all_afinn_values","all_custom_words","all_custom_values","afinn_score","custom_score"
"366","tk_poontycoon",626,"better, shit, mad, ass, nuts, stop, bored","2, -4, -3, -4, -3, -1, -2","better, achieve","1, 1",-2.14,0.38
"367","tmj_orf_govern",494,"like, best","2, 3","best","1",2.5,0.71
"368","tmj_orf_manuf",406,"interested, great, fit, intelligent, opportunity, intelligent","2, 3, 1, 2, 2, 2","opportunity","1",2,0.41
"369","tmj_ORF_skltrd",267,"great, fit","3, 1","more","1",2,0
"370","tmj_orf_util",660,"want","1","work","1",1,0
"371","tmj_VA_LABOR",334,"recommend, intelligent, join","2, 2, 1","more","1",1.67,0
"372","tmj_VAP_adm",170,"want","1","work, more, work","1, 1, 1",1,0
"373","tmj_vap_health",495,"nervous, like, care, underestimating","-2, 2, 2, -1","more","1",0.25,0
"374","tommykerrison",110,"best","3","best","1",3,1
"375","Tomw461",252,"disappointing, lost, fair, thanks, help, negative, joke, luckily, advanced, disgusting, negative","-2, -3, 2, 2, 2, -2, 2, 3, 1, -3, -2","disappointing, negative, cant, negative","-1, -1, -1, -1",0,-0.9
"376","TonyLSumner",433,"good","3","good","1",3,1
"377","tonyplaygames83",855,"best, drop","3, -1","best, drop","1, -1",1,0
"378","tooncesthecat8",196,"worse","-3","worse","-1",-3,-1
"379","trollhands",551,"worth","2","more","1",2,0
"380","TSI_Alerts",509,"safety, safety, safety, safety, safety","1, 1, 1, 1, 1","above, leader","1, 1",1,0
"381","Tuffaboots",619,"delay","-1","low","-1",-1,0
"382","TugDis",502,"best, tolerant, racist, joke, shit, amazing","3, 2, -3, 2, -4, 4","best","1",0.67,0.41
"383","tumamisu",456,"stop, crying, approved, wish, hug","-1, -2, 2, 1, 2","cant","-1",0.4,0
"384","turbeaux_",29,"shit, niggas, please, stop, like","-4, -5, 1, -1, 2","fall, record","-1, 1",-1.4,0
"385","Turbonium2K",49,"worried, like, worried, dumb, like, rich, god, suck, lol, hoping, like, yeah, good, true, sorry, no, like, dislike, yeah, wealthy, like, shitty, lmao, worrying, bullshit, rage, scared, lol, like, dislike, dislike, sad, lol, motherfucker, lmao, like, good, interesting, matter, true, like, shame, no, kind, weird, cutting, rage, kind, sucks, fuck, lol, like","-3, 2, -3, -3, 2, 2, 1, -3, 3, 2, 2, 1, 3, 2, -1, -1, 2, -2, 1, 2, 2, -3, 4, -3, -4, -2, -2, 3, 2, -2, -2, -2, 3, -5, 4, 2, 3, 2, 1, 2, 2, -2, -1, 2, -2, -1, -2, 2, -3, -4, 3, 2","work, good, cant, good","1, 1, -1, 1",0.15,0.28
"386","Twanlites",19,"hell","-4","dropping","-1",-4,0
"387","twoprettybrown",516,"help, ensure, support, amazing, support, love, help, please, love, help","2, 1, 2, 4, 2, 3, 2, 1, 3, 2","succeed, more","1, 1",2.2,0
"388","ubreyauffp",171,"nice, dumb, idiot, like, prominent, like, like, damn, bitch","3, -3, -3, 2, 2, 2, 2, -4, -5","cant","-1",-0.44,0
"389","Urkelator_90210",724,"good, kind","3, 2","good","1",2.5,0.71
"390","Vante__11",204,"true, love, love, better","2, 3, 3, 2","fall, better","-1, 1",2.5,0.5
"391","VeryDumbIdiot",667,"good, no","3, -1","good","1",1,0.71
"392","ViMa711",92,"bomb, sad, good, share, lol, good, welcome, yeah, love, enjoy, yeah, heartbreaking, love, thanks, loyal, recommend, yes","-1, -2, 3, 1, 3, 3, 2, 1, 3, 2, 1, -3, 3, 2, 3, 2, 1","good, more, good, enjoy, encouraging, cannot","1, 1, 1, 1, 1, -1",1.41,0.73
"393","vintagejoehill",579,"alone, no, fun, conspiracy, fight, hope, waste, lol, won, lost, yes","-2, -1, 4, -3, -1, 2, -1, 3, 3, -3, 1","more","1",0.18,0
"394","VirginiaMackem",111,"help, dumb","2, -3","cant","-1",-0.5,0
"395","virginianpilot",69,"no, agrees, clear, debt, sentenced, prison, choking, death, fulfill, love, battles, killing, restore, battle, problem, accused, guilty, charges, fire","-1, 1, 1, -2, -2, -2, -2, -2, 2, 3, -1, -3, 1, -1, -2, -2, -3, -2, -2","down, work, rises, less","-1, 1, 1, -1",-1,0
"396","wahaajkhan01",810,"love, best","3, 3","best","1",3,0.71
"397","Walker09601688",870,"trust","1","trust","1",1,1
"398","WatersideDistVA",705,"award, winning","3, 4","high","1",3.5,0
"399","Watson_Walker",320,"best","3","best, more","1, 1",3,1
"400","Wavvy_Gz",30,"bitch","-5","down","-1",-5,0
"401","WAVY10Bob",246,"arrests, murder, problems","-2, -2, -2","more, more","1, 1",-2,0
"402","WDillingham",523,"rewards, bad, hard, lol, nasty","2, -3, -1, 3, -3","rewards, down, bad, hard, least, work","1, -1, -1, -1, -1, 1",-0.4,-0.45
"403","wGarethwilliams",581,"good","3","good, work","1, 1",3,1
"404","wildernorfolk",284,"treasures, no, enjoy, beaten, straight, fight, pain","2, -1, 2, -2, 1, -1, -2","cant, enjoy, straight, pain, work","-1, 1, 1, -1, 1",-0.14,0.38
"405","windy_pants",849,"good","3","good","1",3,1
"406","winging1t",860,"pleased","3","pleased","1",3,1
"407","WODUplaylist",12,"leave, murder, clean, want, bad, faithful, clean, dream, hell, blame, death, bad, dream, clean, hard, clean, love, wasted, clean, lonely, gun, no, ugly, clean, stupid, clean, doubt","-1, -2, 2, 1, -3, 3, 2, 1, -4, -2, -2, -3, 1, 2, -1, 2, 3, -2, 2, -2, -1, -1, -3, 2, -2, 2, -1","rose, bad, bad, hard","1, -1, -1, -1",-0.26,-0.58
"408","wolfie_biker1",462,"ill, no, no, top, refused","-2, -1, -1, 2, -2","positives","1",-0.8,0
"409","Wood_Fired_Food",469,"chances","2","more","1",2,0
"410","xHeyOpp",577,"better","2","better","1",2,1
"411","xKYREx",748,"bad, wtf, bitch","-3, -4, -5","bad, work","-1, 1",-4,-0.58
"412","YMCANorfolk",670,"best, please, thanks, best, wishes, appreciation","3, 1, 2, 3, 1, 2","best, work, best, work","1, 1, 1, 1",2,0.82
"413","yoRichaard",259,"gross, huge","-2, 1","achievement","1",-0.5,0
"414","youmadawg1",828,"clean, better","2, 2","better","1",2,0.71
"415","ZakDahlheimer",261,"confident, effective","2, 2","unable, disability, more, more","-1, -1, 1, 1",2,0
