census_tract,current_state_diabetes,min_improvement_diabetes,median_improvement_diabetes,max_improvement_diabetes,current_state_high_bp,min_improvement_high_bp,median_improvement_high_bp,max_improvement_high_bp,current_state_poor_phys_health,min_improvement_poor_phys_health,median_improvement_poor_phys_health,max_improvement_poor_phys_health,mileage_added
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.55
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.6
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.65
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.7
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.75
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.8
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.85
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.9
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,0.95
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.05
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.1
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.15
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.2
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.25
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.3
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.35
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.4
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.45
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.5
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.55
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.6
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.65
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.7
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.75
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.8
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.85
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.9
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,1.95
51710000700,92.2,0,1.2,5.6,73,0,0.3,16.6,90.4,0,2.6,3.9,2
51710000800,92.9,0,0,0.4,75.8,0,0.6,0.6,90.5,0,0,0.9,0.25
51710000800,92.9,0,0,0.4,75.8,0,0.6,0.6,90.5,0,0,0.9,0.3
51710000800,92.9,0,0,0.4,75.8,0,0.6,0.6,90.5,0,0,0.9,0.35
51710000800,92.9,0,0,0.4,75.8,0,0.6,0.6,90.5,0,0,0.9,0.4
51710000800,92.9,0,0,0.4,75.8,0,0.6,0.6,90.5,0,0,0.9,0.45
51710000800,92.9,0,0,0.4,75.8,0,0.6,0.6,90.5,0,0,0.9,0.5
51710000800,92.9,0,0,0.4,75.8,0,0.6,0.6,90.5,0,0,0.9,0.55
