census_tract,ct_population,ct_prct_white,ct_prct_black,ct_prct_asian,ct_prct_hispanic,ct_prct_age_5_9,ct_prct_age_10_14,ct_prct_age_15_19,ct_prct_age_20_24,ct_prct_age_25_34,ct_prct_age_35_44,ct_prct_age_45_54,ct_prct_age_55_59,ct_prct_age_60_64,ct_prct_age_65_74,ct_prct_age_75_84,ct_prct_age_85_plus,ct_median_inc,ct_prct_inc_less_than_10,ct_prct_inc_10_15,ct_prct_inc_15_25,ct_prct_inc_25_35,ct_prct_inc_35_50,ct_prct_inc_50_75,ct_prct_inc_75_100,ct_prct_inc_100_150,ct_prct_inc_150_200,ct_prct_inc_200_plus,ct_prct_less_than_9th,ct_prct_9th_12th,ct_prct_high_school,ct_prct_some_college,ct_prct_associates,ct_prct_bachelors,ct_prct_grad,ct_prct_high_school_plus,ct_prct_bachelors_plus,ct_prct_occupied,ct_prct_vacant,ct_prct_home_owner_vacancy,ct_prct_renter_vacancy,ct_prct_home_owner_occupied,ct_prct_renter_occupied
51119951100,2560,0.86953125,0.13046875,0,0.0078125,0.05859375,0.032421875,0.02890625,0.03203125,0.00703125,0.087890625,0.058984375,0.12890625,0.112109375,0.141015625,0.158984375,0.117578125,46719,0.103829787,0.040851064,0.099574468,0.145531915,0.139574468,0.198297872,0.098723404,0.115744681,0.034042553,0.023829787,0.041337668,0.088713423,0.335346029,0.231769624,0.079888528,0.113330237,0.109614491,0.869948908,0.222944728,0.704859028,0.295140972,0.046,0.202,0.919148936,0.080851064
51119951200,2596,0.807010786,0.026579353,0,0.024268105,0.026964561,0.067026194,0.061248074,0.026194145,0.041602465,0.068181818,0.098613251,0.103235747,0.07164869,0.06394453,0.26348228,0.069337442,58519,0.06,0.057391304,0.07826087,0.096521739,0.119130435,0.231304348,0.146956522,0.142608696,0.04173913,0.026086957,0.01189886,0.125929598,0.333168071,0.207734259,0.070897372,0.171541894,0.078829945,0.862171542,0.250371839,0.505939287,0.494060713,0,0,0.820869565,0.179130435
51121020201,5503,0.655278939,0.040159913,0.221697256,0.052153371,0.041431946,0.026349264,0.01544612,0.10085408,0.404870071,0.181719062,0.068871525,0.047065237,0.010357987,0.04070507,0.046156642,0.011266582,43611,0.247232472,0.040129151,0.080258303,0.079335793,0.090405904,0.213560886,0.113468635,0.060885609,0.044280443,0.030442804,0,0.021662246,0.08178603,0.106100796,0.057913351,0.296640141,0.435897436,0.978337754,0.732537577,0.913611462,0.086388538,0,0.021,0.206180812,0.793819188
51121020202,2531,0.743974714,0.155669696,0.03160806,0.039905176,0.056499407,0.048597392,0.061240616,0.018569735,0.102331094,0.141446069,0.099170288,0.06835243,0.031212959,0.052943501,0.093638878,0.122876333,37400,0.11779661,0.127966102,0.172881356,0.061016949,0.079661017,0.181355932,0.056779661,0.093220339,0.038983051,0.070338983,0.089800443,0.0654102,0.278824834,0.145232816,0.074833703,0.144124169,0.201773836,0.844789357,0.345898004,0.85075703,0.14924297,0.023,0,0.277966102,0.722033898
51121020300,7432,0.732508073,0.028659849,0.194967707,0.01803014,0.050322928,0.026506997,0.072927879,0.141953714,0.237621098,0.13320775,0.101856835,0.082346609,0.025296017,0.037809473,0.050322928,0.026910657,46378,0.196004523,0.084432718,0.094986807,0.075763287,0.065209197,0.102525443,0.049001131,0.155295891,0.096117603,0.0806634,0,0.041166381,0.08976558,0.065465981,0.058319039,0.308176101,0.437106918,0.958833619,0.745283019,0.840354767,0.159645233,0,0.026,0.481718809,0.518281191
51121020400,6962,0.816144786,0.042947429,0.111462223,0.040649239,0.009910945,0.029301925,0.023269176,0.143205975,0.51939098,0.085463947,0.06966389,0.03088193,0.017810974,0.035765585,0.020540075,0.011347314,18352,0.367541766,0.070644391,0.142243437,0.060143198,0.059665871,0.085441527,0.064916468,0.041527446,0.076372315,0.03150358,0.012539185,0.086729363,0.189655172,0.0830721,0.015673981,0.26645768,0.345872518,0.900731452,0.612330199,0.781424841,0.218575159,0.059,0.077,0.243914081,0.756085919
51121020500,6377,0.838952485,0.051591658,0.080758978,0.059275521,0.046103183,0.032774032,0.054571115,0.085463384,0.247765407,0.131566567,0.107574094,0.09675396,0.031205896,0.054884742,0.058177827,0.035596676,70321,0.133986928,0.08619281,0.067810458,0.040849673,0.065359477,0.151143791,0.096813725,0.138071895,0.08129085,0.138480392,0.027050867,0.011173184,0.082034696,0.076448103,0.022346369,0.307850632,0.473096148,0.961775948,0.78094678,0.892778993,0.107221007,0,0.045,0.532271242,0.467728758
51121020600,6333,0.853308069,0.016737723,0.09221538,0.019579978,0.043265435,0.029843676,0.031738513,0.065213959,0.23369651,0.195957682,0.104058108,0.105005527,0.011053213,0.05131849,0.10153166,0.019579978,56250,0.132510943,0.058097891,0.072821329,0.039793076,0.131317151,0.096697175,0.111420613,0.135296458,0.089534421,0.132510943,0,0.004502119,0.077595339,0.09375,0.039724576,0.283103814,0.501324153,0.995497881,0.784427966,0.916818679,0.083181321,0,0.04,0.489852766,0.510147234
51121020700,6766,0.778007685,0.097842152,0.08986107,0.021282885,0.035175879,0.025421224,0.033550103,0.062666273,0.228495418,0.257315992,0.076854863,0.097546556,0.039609814,0.052616021,0.053207213,0.031480934,62318,0.169057377,0.033469945,0.066256831,0.101775956,0.080259563,0.241120219,0.052595628,0.116803279,0.017076503,0.121584699,0.004808848,0.018514066,0.171435441,0.139216158,0.037028132,0.307044963,0.321952392,0.976677086,0.628997355,0.895960832,0.104039168,0,0.051,0.298497268,0.701502732
51121020800,6702,0.914950761,0.024619517,0.051029543,0.029394211,0.079230081,0.062369442,0.029245001,0.031632349,0.04610564,0.184870188,0.133840645,0.129364369,0.078931662,0.056550283,0.092062071,0.049388242,51278,0.067756214,0.046646238,0.091249574,0.104187947,0.182499149,0.22165475,0.132107593,0.078651685,0.044603337,0.030643514,0.023828435,0.065726767,0.306791104,0.268864178,0.049642573,0.167196187,0.117950755,0.910444797,0.285146942,0.904527256,0.095472744,0,0.074,0.524344569,0.475655431
