word,sentiment,lexicon
harsh,-2,afinn
harsher,-2,afinn
harshest,-2,afinn
hate,-3,afinn
hated,-3,afinn
haters,-3,afinn
hates,-3,afinn
hating,-3,afinn
haunt,-1,afinn
haunted,-2,afinn
haunting,1,afinn
haunts,-1,afinn
havoc,-2,afinn
healthy,2,afinn
heartbreaking,-3,afinn
heartbroken,-3,afinn
heartfelt,3,afinn
heaven,2,afinn
heavenly,4,afinn
heavyhearted,-2,afinn
hell,-4,afinn
help,2,afinn
helpful,2,afinn
helping,2,afinn
helpless,-2,afinn
helps,2,afinn
hero,2,afinn
heroes,2,afinn
heroic,3,afinn
hesitant,-2,afinn
hesitate,-2,afinn
hid,-1,afinn
hide,-1,afinn
hides,-1,afinn
hiding,-1,afinn
highlight,2,afinn
hilarious,2,afinn
hindrance,-2,afinn
hoax,-2,afinn
homesick,-2,afinn
honest,2,afinn
honor,2,afinn
honored,2,afinn
honoring,2,afinn
honour,2,afinn
honoured,2,afinn
honouring,2,afinn
hooligan,-2,afinn
hooliganism,-2,afinn
hooligans,-2,afinn
hope,2,afinn
hopeful,2,afinn
hopefully,2,afinn
hopeless,-2,afinn
hopelessness,-2,afinn
hopes,2,afinn
hoping,2,afinn
horrendous,-3,afinn
horrible,-3,afinn
horrific,-3,afinn
horrified,-3,afinn
hostile,-2,afinn
huckster,-2,afinn
hug,2,afinn
huge,1,afinn
hugs,2,afinn
humerous,3,afinn
humiliated,-3,afinn
humiliation,-3,afinn
humor,2,afinn
humorous,2,afinn
humour,2,afinn
humourous,2,afinn
hunger,-2,afinn
hurrah,5,afinn
hurt,-2,afinn
hurting,-2,afinn
hurts,-2,afinn
hypocritical,-2,afinn
hysteria,-3,afinn
hysterical,-3,afinn
hysterics,-3,afinn
idiot,-3,afinn
idiotic,-3,afinn
ignorance,-2,afinn
ignorant,-2,afinn
ignore,-1,afinn
ignored,-2,afinn
ignores,-1,afinn
ill,-2,afinn
illegal,-3,afinn
illiteracy,-2,afinn
illness,-2,afinn
illnesses,-2,afinn
imbecile,-3,afinn
immobilized,-1,afinn
immortal,2,afinn
immune,1,afinn
impatient,-2,afinn
imperfect,-2,afinn
importance,2,afinn
important,2,afinn
impose,-1,afinn
imposed,-1,afinn
imposes,-1,afinn
imposing,-1,afinn
impotent,-2,afinn
impress,3,afinn
impressed,3,afinn
impresses,3,afinn
impressive,3,afinn
imprisoned,-2,afinn
improve,2,afinn
improved,2,afinn
improvement,2,afinn
improves,2,afinn
improving,2,afinn
inability,-2,afinn
inaction,-2,afinn
inadequate,-2,afinn
incapable,-2,afinn
incapacitated,-2,afinn
incensed,-2,afinn
incompetence,-2,afinn
incompetent,-2,afinn
inconsiderate,-2,afinn
inconvenience,-2,afinn
inconvenient,-2,afinn
increase,1,afinn
increased,1,afinn
indecisive,-2,afinn
indestructible,2,afinn
indifference,-2,afinn
indifferent,-2,afinn
